"sample_id","species"
"pver_150","verrucosa"
"pver_118","verrucosa"
"pver_107","verrucosa"
"E2B_B_15M_CB_087","verrucosa"
"pver_96","verrucosa"
"pver_106","verrucosa"
"pver_70","verrucosa"
"pver_104","verrucosa"
"pver_101","verrucosa"
"pver_100","verrucosa"
"pver_93","verrucosa"
"pver_103","verrucosa"
"pver_95","verrucosa"
"pver_94","verrucosa"
"pver_85","verrucosa"
"pver_142","verrucosa"
"pver_90","verrucosa"
"E2B_B_15M_CB_080","verrucosa"
"pver_98","verrucosa"
"pver_144","verrucosa"
"pver_86","verrucosa"
"pver_48","verrucosa"
"pver_35","verrucosa"
"pver_102","verrucosa"
"pver_91","verrucosa"
"pver_110","verrucosa"
"pver_152","verrucosa"
"pver_87","verrucosa"
"pver_153","verrucosa"
"pver_49","verrucosa"
"pver_143","verrucosa"
"pver_89","verrucosa"
"pver_105","verrucosa"
"pver_80","verrucosa"
"pver_154","verrucosa"
"pver_47","verrucosa"
"pver_97","verrucosa"
"pver_88","verrucosa"
"pver_92","verrucosa"
"pver_82","verrucosa"
"pver_146","verrucosa"
"E2B_B_5M_CB_113","verrucosa"
"pver_99","verrucosa"
"pver_68","tuhaniensis"
"pmea_132","tuhaniensis"
"pmea_155","tuhaniensis"
"pmea_137","tuhaniensis"
"pmea_131","tuhaniensis"
"pmea_145","tuhaniensis"
"pmea_133","tuhaniensis"
"pmea_116","tuhaniensis"
"pmea_134","tuhaniensis"
"E2B_B_15M_CB_077","tuhaniensis"
"pmea_123","tuhaniensis"
"TIA_UB_15M_CB_371","tuhaniensis"
"pmea_138","tuhaniensis"
"pver_46","tuhaniensis"
"pmea_122","tuhaniensis"
"pver_75","tuhaniensis"
"E2B_UB_15M_CB_061","tuhaniensis"
"pver_108","effusa"
"pver_78","effusa"
"pver_77","effusa"
"pver_40","effusa"
"pver_33","effusa"
"pver_81","effusa"
"pver_76","effusa"
"pver_83","effusa"
"pver_84","effusa"
"pver_71","effusa"
"pver_42","effusa"
"E2B_B_5M_CB_108","effusa"
"pver_37","effusa"
"pver_73","effusa"
"pver_50","effusa"
"pver_72","effusa"
"E2B_B_15M_CB_078","effusa"
"TIA_B_15M_CB_376","effusa"
"pver_74","effusa"
"pver_38","meandrina"
"pver_51","meandrina"
"pver_45","meandrina"
"E2B_UB_5M_CB_091","meandrina"
"pmea_126","meandrina"
"pver_39","meandrina"
"pmea_117","meandrina"
"pver_44","meandrina"
"pver_59","meandrina"
"pmea_121","meandrina"
"pver_55","meandrina"
"pver_52","meandrina"
"pmea_111","meandrina"
"pver_58","meandrina"
"pver_69","meandrina"
"pmea_124","meandrina"
"pver_41","meandrina"
"pmea_129","meandrina"
"pver_36","meandrina"
"TIA_UB_5M_CB_394","meandrina"
"pver_53","meandrina"
"pver_56","meandrina"
"pver_60","meandrina"
"pver_34","meandrina"
"pmea_120","meandrina"
"pver_61","meandrina"
"pmea_151","meandrina"
"pmea_148","meandrina"
"pmea_119","meandrina"
"pver_57","meandrina"
"pver_43","meandrina"
"E2B_UB_15M_CB_068","meandrina"
"pmea_140","meandrina"
"pver_109","meandrina"
"pmea_113","meandrina"
